Fri Jan 29 15:37:34 CST 2016
Timestamp, DB min, DB max, DB current, DB used, Core Threads, Active Threads, Queue Tasks, Completed Tasks, Sessions, NIO Read, NIO Written, Queued NIO events, Queues NIO writes
1454065823932,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065828934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065833934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065838933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065843931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065848931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065853933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065858933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065863930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065868932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065873931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065827463,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065832460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065837459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065842460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065847460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065852460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065857463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065862460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065867459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065872463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065877460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065882463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065887462,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065878932,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065883931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065888931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065893933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065898934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065903930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065908934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065913933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065918932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065923930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065928932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065933929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065938931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065892462,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065897459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065902461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065907463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065912458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065917460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065922462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065927460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065932462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065937462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065942460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065947463,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065952459,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065943932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065948929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065953930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065958934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065963934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065968932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065973934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065978934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065983934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065988933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065993934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065998933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066003933,5,200,4,1,17,0,0,0,0,0,0,0,0
1454065957461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065962459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065967458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065972463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065977463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065982460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065987461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065992462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454065997463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066002461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066007458,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066012460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066017462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066008933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066013929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066018932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066023932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066028931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066033932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066038932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066043931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066048931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066053931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066058931,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066063934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066068934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066022460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066027463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066032461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066037462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066042463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066047461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066052458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066057459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066062460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066067460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066072462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066077463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066082461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066073930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066078932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066083933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066088929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066093932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066098934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066103932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066108931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066113934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066118932,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066123931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066128932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066133931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066087463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066092462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066097462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066102461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066107462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066112462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066117462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066122461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066127460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066132462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066137461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066142460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066147463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066138933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066143931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066148931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066153929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066158930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066163934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066168934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066173934,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066178930,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066183932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066188932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066193932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066198932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066152461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066157460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066162461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066167459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066172462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066177462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066182460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066187460,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066192458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066197460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066202462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066207462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066212463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066203929,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066208932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066213933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066218933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066223932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066228932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066233933,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066238930,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066243930,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066248932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066253931,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066258932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066263932,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066217458,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066222462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066227459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066232463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066237459,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066242460,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066247461,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066252458,5,200,4,1,17,0,0,0,0,0,0,0,0
1454066257463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066262462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066267463,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066272461,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066277462,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066268930,5,200,5,0,17,0,0,0,0,0,0,0,0
1454066273930,5,200,5,0,17,0,0,0,0,0,0,0,0
